FileName,Class
battery\battery121.jpg,0
battery\battery122.jpg,6
battery\battery123.jpg,0
battery\battery124.jpg,2
battery\battery125.jpg,0
battery\battery126.jpg,0
battery\battery127.jpg,0
battery\battery128.jpg,0
battery\battery129.jpg,0
battery\battery130.jpg,0
battery\battery131.jpg,2
battery\battery132.jpg,0
battery\battery133.jpg,2
battery\battery134.jpg,0
battery\battery135.jpg,0
battery\battery136.jpg,0
battery\battery137.jpg,0
battery\battery138.jpg,2
battery\battery139.jpg,2
battery\battery140.jpg,0
battery\battery141.jpg,0
battery\battery142.jpg,0
battery\battery143.jpg,0
battery\battery144.jpg,2
battery\battery145.jpg,2
battery\battery146.jpg,2
battery\battery147.jpg,2
battery\battery148.jpg,0
battery\battery149.jpg,2
battery\battery150.jpg,0
biological\biological121.jpg,2
biological\biological122.jpg,2
biological\biological123.jpg,2
biological\biological124.jpg,2
biological\biological125.jpg,2
biological\biological126.jpg,2
biological\biological127.jpg,0
biological\biological128.jpg,2
biological\biological129.jpg,2
biological\biological130.jpg,0
biological\biological131.jpg,0
biological\biological132.jpg,2
biological\biological133.jpg,3
biological\biological134.jpg,0
biological\biological135.jpg,2
biological\biological136.jpg,0
biological\biological137.jpg,2
biological\biological138.jpg,0
biological\biological139.jpg,2
biological\biological140.jpg,2
biological\biological141.jpg,0
biological\biological142.jpg,2
biological\biological143.jpg,2
biological\biological144.jpg,2
biological\biological145.jpg,2
biological\biological146.jpg,2
biological\biological147.jpg,1
biological\biological148.jpg,2
biological\biological149.jpg,2
biological\biological150.jpg,2
clothes\clothes121.jpg,2
clothes\clothes122.jpg,2
clothes\clothes123.jpg,2
clothes\clothes124.jpg,2
clothes\clothes125.jpg,2
clothes\clothes126.jpg,2
clothes\clothes127.jpg,2
clothes\clothes128.jpg,2
clothes\clothes129.jpg,2
clothes\clothes130.jpg,2
clothes\clothes131.jpg,2
clothes\clothes132.jpg,2
clothes\clothes133.jpg,2
clothes\clothes134.jpg,2
clothes\clothes135.jpg,2
clothes\clothes136.jpg,2
clothes\clothes137.jpg,2
clothes\clothes138.jpg,2
clothes\clothes139.jpg,2
clothes\clothes140.jpg,2
clothes\clothes141.jpg,2
clothes\clothes142.jpg,2
clothes\clothes143.jpg,2
clothes\clothes144.jpg,2
clothes\clothes145.jpg,2
clothes\clothes146.jpg,2
clothes\clothes147.jpg,2
clothes\clothes148.jpg,2
clothes\clothes149.jpg,2
clothes\clothes150.jpg,2
green-glass\green-glass121.jpg,2
green-glass\green-glass122.jpg,2
green-glass\green-glass123.jpg,0
green-glass\green-glass124.jpg,0
green-glass\green-glass125.jpg,0
green-glass\green-glass126.jpg,2
green-glass\green-glass127.jpg,0
green-glass\green-glass128.jpg,2
green-glass\green-glass129.jpg,2
green-glass\green-glass130.jpg,0
green-glass\green-glass131.jpg,3
green-glass\green-glass132.jpg,0
green-glass\green-glass133.jpg,0
green-glass\green-glass134.jpg,0
green-glass\green-glass135.jpg,2
green-glass\green-glass136.jpg,0
green-glass\green-glass137.jpg,0
green-glass\green-glass138.jpg,2
green-glass\green-glass139.jpg,2
green-glass\green-glass140.jpg,0
green-glass\green-glass141.jpg,0
green-glass\green-glass142.jpg,2
green-glass\green-glass143.jpg,2
green-glass\green-glass144.jpg,3
green-glass\green-glass145.jpg,0
green-glass\green-glass146.jpg,2
green-glass\green-glass147.jpg,0
green-glass\green-glass148.jpg,3
green-glass\green-glass149.jpg,2
green-glass\green-glass150.jpg,2
metal\metal121.jpg,3
metal\metal122.jpg,0
metal\metal123.jpg,2
metal\metal124.jpg,0
metal\metal125.jpg,0
metal\metal126.jpg,2
metal\metal127.jpg,2
metal\metal128.jpg,2
metal\metal129.jpg,2
metal\metal130.jpg,2
metal\metal131.jpg,0
metal\metal132.jpg,2
metal\metal133.jpg,0
metal\metal134.jpg,0
metal\metal135.jpg,0
metal\metal136.jpg,0
metal\metal137.jpg,0
metal\metal138.jpg,2
metal\metal139.jpg,0
metal\metal140.jpg,2
metal\metal141.jpg,0
metal\metal142.jpg,0
metal\metal143.jpg,0
metal\metal144.jpg,0
metal\metal145.jpg,0
metal\metal146.jpg,0
metal\metal147.jpg,0
metal\metal148.jpg,0
metal\metal149.jpg,0
metal\metal150.jpg,0
paper\paper121.jpg,3
paper\paper122.jpg,2
paper\paper123.jpg,2
paper\paper124.jpg,2
paper\paper125.jpg,2
paper\paper126.jpg,3
paper\paper127.jpg,2
paper\paper128.jpg,0
paper\paper129.jpg,2
paper\paper130.jpg,3
paper\paper131.jpg,2
paper\paper132.jpg,2
paper\paper133.jpg,2
paper\paper134.jpg,2
paper\paper135.jpg,2
paper\paper136.jpg,2
paper\paper137.jpg,2
paper\paper138.jpg,3
paper\paper139.jpg,3
paper\paper140.jpg,3
paper\paper141.jpg,2
paper\paper142.jpg,2
paper\paper143.jpg,3
paper\paper144.jpg,2
paper\paper145.jpg,2
paper\paper146.jpg,2
paper\paper147.jpg,3
paper\paper148.jpg,2
paper\paper149.jpg,3
paper\paper150.jpg,3
plastic\plastic121.jpg,6
plastic\plastic122.jpg,3
plastic\plastic123.jpg,6
plastic\plastic124.jpg,3
plastic\plastic125.jpg,0
plastic\plastic126.jpg,0
plastic\plastic127.jpg,6
plastic\plastic128.jpg,3
plastic\plastic129.jpg,0
plastic\plastic130.jpg,3
plastic\plastic131.jpg,6
plastic\plastic132.jpg,2
plastic\plastic133.jpg,2
plastic\plastic134.jpg,3
plastic\plastic135.jpg,3
plastic\plastic136.jpg,3
plastic\plastic137.jpg,6
plastic\plastic138.jpg,6
plastic\plastic139.jpg,6
plastic\plastic140.jpg,6
plastic\plastic141.jpg,3
plastic\plastic142.jpg,2
plastic\plastic143.jpg,0
plastic\plastic144.jpg,3
plastic\plastic145.jpg,3
plastic\plastic146.jpg,3
plastic\plastic147.jpg,3
plastic\plastic148.jpg,3
plastic\plastic149.jpg,0
plastic\plastic150.jpg,0
shoes\shoes121.jpg,0
shoes\shoes122.jpg,0
shoes\shoes123.jpg,2
shoes\shoes124.jpg,2
shoes\shoes125.jpg,0
shoes\shoes126.jpg,0
shoes\shoes127.jpg,0
shoes\shoes128.jpg,0
shoes\shoes129.jpg,2
shoes\shoes130.jpg,2
shoes\shoes131.jpg,2
shoes\shoes132.jpg,0
shoes\shoes133.jpg,0
shoes\shoes134.jpg,0
shoes\shoes135.jpg,2
shoes\shoes136.jpg,0
shoes\shoes137.jpg,0
shoes\shoes138.jpg,0
shoes\shoes139.jpg,0
shoes\shoes140.jpg,0
shoes\shoes141.jpg,0
shoes\shoes142.jpg,0
shoes\shoes143.jpg,2
shoes\shoes144.jpg,2
shoes\shoes145.jpg,0
shoes\shoes146.jpg,0
shoes\shoes147.jpg,0
shoes\shoes148.jpg,0
shoes\shoes149.jpg,0
shoes\shoes150.jpg,2
