FileName,Class
battery\battery121.jpg,0
battery\battery122.jpg,0
battery\battery123.jpg,0
battery\battery124.jpg,0
battery\battery125.jpg,3
battery\battery126.jpg,0
battery\battery127.jpg,7
battery\battery128.jpg,7
battery\battery129.jpg,0
battery\battery130.jpg,0
battery\battery131.jpg,0
battery\battery132.jpg,0
battery\battery133.jpg,0
battery\battery134.jpg,0
battery\battery135.jpg,0
battery\battery136.jpg,0
battery\battery137.jpg,0
battery\battery138.jpg,0
battery\battery139.jpg,0
battery\battery140.jpg,0
battery\battery141.jpg,0
battery\battery142.jpg,0
battery\battery143.jpg,0
battery\battery144.jpg,0
battery\battery145.jpg,0
battery\battery146.jpg,0
battery\battery147.jpg,0
battery\battery148.jpg,0
battery\battery149.jpg,0
battery\battery150.jpg,6
biological\biological121.jpg,1
biological\biological122.jpg,1
biological\biological123.jpg,1
biological\biological124.jpg,1
biological\biological125.jpg,1
biological\biological126.jpg,7
biological\biological127.jpg,1
biological\biological128.jpg,7
biological\biological129.jpg,1
biological\biological130.jpg,1
biological\biological131.jpg,7
biological\biological132.jpg,1
biological\biological133.jpg,1
biological\biological134.jpg,1
biological\biological135.jpg,1
biological\biological136.jpg,1
biological\biological137.jpg,1
biological\biological138.jpg,1
biological\biological139.jpg,1
biological\biological140.jpg,1
biological\biological141.jpg,1
biological\biological142.jpg,1
biological\biological143.jpg,1
biological\biological144.jpg,1
biological\biological145.jpg,1
biological\biological146.jpg,3
biological\biological147.jpg,1
biological\biological148.jpg,1
biological\biological149.jpg,1
biological\biological150.jpg,1
clothes\clothes121.jpg,2
clothes\clothes122.jpg,2
clothes\clothes123.jpg,2
clothes\clothes124.jpg,2
clothes\clothes125.jpg,2
clothes\clothes126.jpg,2
clothes\clothes127.jpg,2
clothes\clothes128.jpg,3
clothes\clothes129.jpg,2
clothes\clothes130.jpg,2
clothes\clothes131.jpg,2
clothes\clothes132.jpg,2
clothes\clothes133.jpg,2
clothes\clothes134.jpg,2
clothes\clothes135.jpg,1
clothes\clothes136.jpg,2
clothes\clothes137.jpg,5
clothes\clothes138.jpg,2
clothes\clothes139.jpg,2
clothes\clothes140.jpg,2
clothes\clothes141.jpg,2
clothes\clothes142.jpg,2
clothes\clothes143.jpg,2
clothes\clothes144.jpg,2
clothes\clothes145.jpg,2
clothes\clothes146.jpg,5
clothes\clothes147.jpg,2
clothes\clothes148.jpg,2
clothes\clothes149.jpg,1
clothes\clothes150.jpg,2
green-glass\green-glass121.jpg,5
green-glass\green-glass122.jpg,3
green-glass\green-glass123.jpg,3
green-glass\green-glass124.jpg,0
green-glass\green-glass125.jpg,7
green-glass\green-glass126.jpg,1
green-glass\green-glass127.jpg,7
green-glass\green-glass128.jpg,3
green-glass\green-glass129.jpg,3
green-glass\green-glass130.jpg,7
green-glass\green-glass131.jpg,3
green-glass\green-glass132.jpg,0
green-glass\green-glass133.jpg,3
green-glass\green-glass134.jpg,6
green-glass\green-glass135.jpg,3
green-glass\green-glass136.jpg,3
green-glass\green-glass137.jpg,7
green-glass\green-glass138.jpg,3
green-glass\green-glass139.jpg,0
green-glass\green-glass140.jpg,0
green-glass\green-glass141.jpg,0
green-glass\green-glass142.jpg,0
green-glass\green-glass143.jpg,0
green-glass\green-glass144.jpg,3
green-glass\green-glass145.jpg,0
green-glass\green-glass146.jpg,3
green-glass\green-glass147.jpg,0
green-glass\green-glass148.jpg,6
green-glass\green-glass149.jpg,3
green-glass\green-glass150.jpg,4
metal\metal121.jpg,7
metal\metal122.jpg,0
metal\metal123.jpg,7
metal\metal124.jpg,2
metal\metal125.jpg,4
metal\metal126.jpg,4
metal\metal127.jpg,4
metal\metal128.jpg,4
metal\metal129.jpg,4
metal\metal130.jpg,4
metal\metal131.jpg,4
metal\metal132.jpg,3
metal\metal133.jpg,4
metal\metal134.jpg,0
metal\metal135.jpg,0
metal\metal136.jpg,7
metal\metal137.jpg,7
metal\metal138.jpg,4
metal\metal139.jpg,7
metal\metal140.jpg,7
metal\metal141.jpg,4
metal\metal142.jpg,4
metal\metal143.jpg,7
metal\metal144.jpg,7
metal\metal145.jpg,4
metal\metal146.jpg,0
metal\metal147.jpg,4
metal\metal148.jpg,4
metal\metal149.jpg,7
metal\metal150.jpg,6
paper\paper121.jpg,5
paper\paper122.jpg,5
paper\paper123.jpg,5
paper\paper124.jpg,5
paper\paper125.jpg,5
paper\paper126.jpg,5
paper\paper127.jpg,5
paper\paper128.jpg,6
paper\paper129.jpg,5
paper\paper130.jpg,5
paper\paper131.jpg,5
paper\paper132.jpg,0
paper\paper133.jpg,5
paper\paper134.jpg,5
paper\paper135.jpg,2
paper\paper136.jpg,5
paper\paper137.jpg,5
paper\paper138.jpg,5
paper\paper139.jpg,5
paper\paper140.jpg,5
paper\paper141.jpg,7
paper\paper142.jpg,5
paper\paper143.jpg,5
paper\paper144.jpg,5
paper\paper145.jpg,5
paper\paper146.jpg,5
paper\paper147.jpg,7
paper\paper148.jpg,5
paper\paper149.jpg,5
paper\paper150.jpg,5
plastic\plastic121.jpg,6
plastic\plastic122.jpg,6
plastic\plastic123.jpg,6
plastic\plastic124.jpg,4
plastic\plastic125.jpg,7
plastic\plastic126.jpg,6
plastic\plastic127.jpg,3
plastic\plastic128.jpg,6
plastic\plastic129.jpg,6
plastic\plastic130.jpg,6
plastic\plastic131.jpg,6
plastic\plastic132.jpg,6
plastic\plastic133.jpg,6
plastic\plastic134.jpg,6
plastic\plastic135.jpg,7
plastic\plastic136.jpg,6
plastic\plastic137.jpg,6
plastic\plastic138.jpg,6
